"Easting","Northing","Longitude","Latitude","logSellingPrice","LivingArea","OtherArea","Age","Bedrooms","Bathrooms","HalfBaths"
690396.168823084,3363182.23328247,-91.0184,30.38562,10.87616,1606,794,11,4,2,0
684576.005246116,3374179.72011234,-91.077,30.48571,10.54534,979,452,2,2,1,1
681534.130014312,3376912.45921057,-91.1082,30.51082,10.59663,1144,584,0,3,2,0
689717.276873069,3370129.28239558,-91.0242,30.44838,11.22524,2154,786,13,4,2,0
691818.973233461,3370254.93518201,-91.0023,30.44918,12.01309,2992,1522,3,5,3,1
682052.262088591,3362037.09487367,-91.1054,30.37658,10.96474,1174,410,0,3,2,0
691014.691482966,3369009.95028001,-91.0109,30.43808,11.23915,1600,550,7,3,2,0
690589.058236522,3370815.39742782,-91.015,30.45443,10.71219,1020,529,13,3,1,1
681361.178271392,3380356.74417164,-91.1094,30.54191,11.06664,1864,1114,19,3,2,0
689641.821478482,3368399.31843314,-91.0253,30.43279,11.13459,1526,706,10,3,2,0
693750.074853541,3364322.56264698,-90.9833,30.39537,11.99412,2408,613,0,4,2,1
689531.45135459,3369767.88744925,-91.0262,30.44515,11.16935,1545,599,6,3,2,0
676870.259230098,3364430.74716941,-91.1589,30.39894,11.37939,2205,635,12,4,2,0
676528.494791825,3364762.24471465,-91.1624,30.40198,11.63691,2583,634,12,3,2,1
685590.186701267,3373836.68386493,-91.0665,30.48246,11.08214,1705,572,15,3,2,0
686957.60413862,3370276.53682216,-91.0529,30.45014,11.4773,2998,754,23,6,3,1
685208.952646049,3382080.74666847,-91.069,30.55687,11.19134,1900,850,10,3,2,0
687472.600874162,3365484.3207588,-91.0484,30.40684,11.38509,2200,768,14,4,2,0
685082.880112093,3379355.36324515,-91.0708,30.53231,10.86857,1789,596,20,3,2,0
678080.615616226,3366228.9084757,-91.146,30.41498,11.05089,1787,275,42,3,2,0
690279.5931734,3370385.28619086,-91.0183,30.4506,11.23849,2121,256,17,3,2,0
688275.364458185,3382328.89597957,-91.037,30.55863,11.06664,1535,478,14,3,2,0
690610.072129042,3370165.99492398,-91.0149,30.44857,10.66896,1010,386,14,3,1,1
688183.25674797,3375485.85667809,-91.0392,30.49693,10.63104,1546,791,14,3,2,0
687284.469999279,3374155.22997302,-91.0488,30.48507,11.01673,1413,660,10,3,2,0
684821.322898615,3368798.52195818,-91.0754,30.43714,11.2474,2014,695,25,3,2,0
690853.925190046,3370502.92893183,-91.0123,30.45157,10.98529,1358,567,5,3,2,0
691377.687146095,3370763.85884304,-91.0068,30.45384,11.8706,3418,1016,10,4,2,1
688275.193667003,3365756.54314683,-91.04,30.40917,11.19958,1836,556,13,4,2,0
677276.840549314,3374838.40316607,-91.1529,30.49275,10.23996,1200,1042,20,2,1,0
678316.869737245,3363541.88735561,-91.144,30.39071,12.25486,3052,1161,5,4,2,1
679677.832605465,3363779.37889045,-91.1298,30.39265,11.48247,1963,819,8,3,2,0
685121.647444705,3369216.10669314,-91.0722,30.44086,10.91509,1709,570,20,3,2,0
692116.713813762,3370259.09348893,-90.9992,30.44917,11.65269,2477,994,11,3,2,0
689384.446551263,3367179.56820186,-91.0282,30.42183,11.69441,2642,1008,11,4,2,1
684191.764693273,3373622.11481734,-91.0811,30.48074,11.14908,2147,512,24,3,2,0
678282.550823873,3374989.06622016,-91.1424,30.49396,10.81978,1500,410,24,3,2,0
680183.710400803,3369208.41675622,-91.1236,30.44154,11.3266,1700,832,50,3,1,0
686164.595431947,3373940.78389167,-91.0605,30.48331,11.17745,1885,920,12,3,2,0
688588.5051321,3369851.25477053,-91.036,30.44605,11.28114,1918,559,15,4,2,0
688508.174086273,3371157.14713076,-91.0366,30.45784,11.19134,2066,521,18,4,2,0
690758.492979176,3370466.87714368,-91.0133,30.45126,11.25803,2064,750,5,3,2,1
685730.307779558,3365082.96932067,-91.0666,30.40349,11.28978,1762,865,16,3,2,0
691863.395295895,3362839.88133766,-91.0032,30.3823,10.79549,1328,646,15,3,2,0
687126.752202784,3372165.52544228,-91.0508,30.46715,10.81978,1376,655,17,3,2,0
679839.449430564,3362724.31160934,-91.1283,30.38311,11.72723,2830,934,11,3,2,1
688137.518033654,3368711.33636825,-91.0409,30.43584,11.12726,1485,694,0,3,2,0
685025.436588354,3363015.27881547,-91.0743,30.38495,11.31322,1593,698,4,3,2,0
691014.34042073,3369029.90296705,-91.0109,30.43826,11.23849,1624,700,8,3,2,0
690504.582166135,3367965.34794382,-91.0164,30.42874,11.14331,1533,512,10,3,2,0
683612.790023324,3370382.41488714,-91.0877,30.45161,10.86188,1561,137,24,3,2,0
689106.67730291,3369334.69364362,-91.0307,30.44131,11.23717,1403,576,0,3,2,0
689763.960402512,3366907.87868353,-91.0243,30.41932,11.58058,2651,1010,10,4,2,1
684328.020231835,3373515.77014613,-91.0797,30.47976,10.99373,1525,528,15,3,2,0
690031.900654885,3368620.13985677,-91.0212,30.43472,11.20504,1932,552,12,3,2,0
690409.232077229,3362985.09342324,-91.0183,30.38384,11.09589,1586,633,11,3,2,0
687142.146560804,3375167.33067099,-91.0501,30.49422,11.03328,1675,594,10,3,2,0
676034.075692037,3384526.28749688,-91.1642,30.58031,10.50507,1106,294,26,3,1,0
676557.277849223,3384796.49761893,-91.1587,30.58267,10.54534,1158,210,7,3,2,0
688064.101631289,3370175.90598312,-91.0414,30.44906,11.76368,2850,1182,11,4,2,1
677433.586797346,3383424.91766419,-91.1498,30.57017,10.59663,1123,337,15,3,2,0
689281.422422326,3372534.45834795,-91.0283,30.47014,10.93314,1612,638,8,3,2,0
690729.210857976,3371039.62577099,-91.0135,30.45643,11.38509,2144,742,11,4,2,1
685455.621840267,3364846.54486919,-91.0695,30.4014,10.77896,1034,664,22,3,1,1
688155.980683344,3375397.78629817,-91.0395,30.49614,10.77664,1317,600,13,3,2,0
687072.962737343,3370271.87215155,-91.0517,30.45008,11.2772,1800,608,22,3,2,0
673940.299728253,3370945.93571323,-91.1883,30.45813,10.63345,2111,199,25,3,2,0
677865.613709848,3368208.91239755,-91.1479,30.43287,12.07254,2698,760,10,4,2,1
686020.395930843,3368908.81238434,-91.0629,30.43795,11.39392,1750,604,9,2,2,0
677100.731263947,3386753.49063431,-91.1527,30.60024,10.66663,2100,300,30,4,2,0
