"county","burglary_rate","unempt_rate","median_income_1000s"
"Alcona","7.39848589125946","10.8","34.858"
"Alger","3.52770284291347","8.1","38.262"
"Allegan","3.62383360638222","6.3","50.24"
"Alpena","5.17264101212441","7.9","36.695"
"Antrim","6.33129468515807","8","43.123"
"Arenac","6.31172929694349","10.2","36.689"
"Baraga","3.5724918130396","11.5","40.541"
"Barry","5.33667890045689","5.4","51.869"
"Bay","6.07776970677749","7.2","44.659"
"Benzie","5.68181818181818","7.9","44.718"
"Berrien","6.43575645475967","7.3","42.625"
"Branch","4.84871993793638","7.6","42.133"
"Calhoun","9.83542771501038","7.2","42.568"
"Cass","6.82679004785557","5.5","45.177"
"Charlevoix","3.67660851622585","8","48.704"
"Cheboygan","4.54480389350129","10.1","37.903"
"Chippewa","6.07502003464054","8.8","40.194"
"Clare","15.2973965921328","10.7","34.399"
"Clinton","2.85141912936669","5.4","58.016"
"Crawford","5.65309922851822","7.9","39.665"
"Delta","3.47601937197313","7.4","41.951"
"Dickinson","2.18153207925041","5.9","42.586"
"Eaton","3.70395842134738","5.4","54.885"
"Emmet","3.55115792029623","8.8","49.235"
"Genessee","12.5991336823924","8.5","43.483"
"Gladwin","4.56873365019712","10.1","37.936"
"Gogebic","0.39583058450983","7.7","33.673"
"Grand Traverse","4.73961939781763","6.2","50.647"
"Gratiot","3.24344799829541","8.9","40.114"
"Hillsdale","5.17021577978186","8","42.989"
"Houghton","3.34119496855346","7.1","34.174"
"Huron","3.39470303994128","8.4","40.038"
"Ingham","7.88430137625379","6.5","45.808"
"Ionia","5.18255310565271","8.5","46.454"
"Iosco","10.0649953574745","9.4","36.861"
"Iron","4.4243622328909","7.5","33.734"
"Isabella","4.94996562523871","5.3","36.88"
"Jackson","6.16888966198461","7.4","46.117"
"Kalamazoo","10.9838678394036","5.3","44.794"
"Kalkaska","7.8506629448709","8","39.35"
"Kent","8.14880901375889","5.8","49.532"
"Keweenaw","11.4155251141553","10.3","38.872"
"Lake","10.5490489243293","10.8","31.205"
"Lapeer","3.31822770129508","7.7","55.005"
"Leelanau","2.62419690525744","5.2","56.527"
"Lenawee","3.56655105670128","7.6","48.618"
"Livingston","3.42970756358214","5.2","72.129"
"Luce","6.95249130938586","7.8","40.041"
"Mackinac","7.96248783508803","9.9","39.339"
"Macomb","4.30906317461315","7","53.996"
"Manistee","6.15983785717124","8.7","40.853"
"Marquette","4.22607161101565","6.3","45.13"
"Mason","8.75008646330497","8.2","40.039"
"Mecosta","7.56769540026014","7.7","35.887"
"Menominee","6.65757600064169","6.6","41.332"
"Midland","3.23176912527577","5.8","48.432"
"Missaukee","5.17659393224559","8","51.103"
"Monroe","5.62679500621943","6.7","55.366"
"Montcalm","8.02031139657666","13.3","39.775"
"Montgomery","4.89490354160668","12.3","3.447"
"Muskegon","7.86902470919442","7.1","40.67"
"Newaygo","5.79446799919241","7.4","43.218"
"Oakland","5.35516013059755","5.7","66.39"
"Oceana","6.23495521092301","8.7","39.543"
"Ogemaw","9.65132232577944","8.4","35.968"
"Ontonagon","2.04220558202859","8.2","35.269"
"Osceola","6.20488793212612","7.6","38.341"
"Oscoda","7.11590296495957","10.8","32.346"
"Otsego","6.42172004552105","8.5","45.531"
"Ottawa","4.07426306079994","5.5","55.095"
"Presque Isle","1.87476565429321","12.4","37.383"
"Roscommon","9.30268317060045","9.5","33.542"
"Saginaw","11.2973147225951","7.7","42.594"
"Saint Clair","5.94218071013738","7.9","40.818"
"Saint Joseph","5.53901984815446","6.7","36.925"
"Sanilac","4.68957313446493","8.8","46.453"
"Schoolcraft","5.75204993268878","10.9","49.12"
"Shiawassee","4.77165243170749","8.4","44.392"
"Tuscola","4.51365821251319","8.8","42.198"
"Van Burien","7.66931637519873","6.9","44.435"
"Washtenaw","6.05287467558175","4.8","59.065"
"Wayne","12.3547564875013","8.2","42.241"
"Wexford","8.64861464918074","8.4","39.997"
